"IFC Region","Country","Number of enterprises","IFC Cumulative Commitments (US$ Thousands)","Loan & Guarantee participations Cumulative Commitments (US$ Thousands)","TOTAL","Fiscal Year","As of Date"
"Sub-Saharan Africa","Botswana",6,35451.6,0,35451.6,"FY16","06/30/2016"
"Sub-Saharan Africa","Burkina Faso",19,356346.17,0,356346.17,"FY16","06/30/2016"
"Sub-Saharan Africa","Burundi",10,53648.14,0,53648.14,"FY16","06/30/2016"
"Sub-Saharan Africa","Cameroon",41,698682.12,471500,1170182.12,"FY16","06/30/2016"
"Sub-Saharan Africa","Cape Verde",6,15901.91,0,15901.91,"FY16","06/30/2016"
"Sub-Saharan Africa","Central African Republic",1,9880.62,0,9880.62,"FY16","06/30/2016"
"Sub-Saharan Africa","Chad",10,139265.59,13900,153165.59,"FY16","06/30/2016"
"Sub-Saharan Africa","Congo, Democratic Republic of",28,509432.37,94000,603432.37,"FY16","06/30/2016"
"Sub-Saharan Africa","Congo, Republic of",9,154232.4,25000,179232.4,"FY16","06/30/2016"
"Sub-Saharan Africa","Cote D'Ivoire",57,877538.74,70964,948502.54,"FY16","06/30/2016"
"Sub-Saharan Africa","Djibouti",1,4000,0,4000,"FY16","06/30/2016"
"Sub-Saharan Africa","Eritrea",1,949.22,0,949.22,"FY16","06/30/2016"
"Sub-Saharan Africa","Ethiopia",15,501181.96,11149,512330.96,"FY16","06/30/2016"
"Sub-Saharan Africa","Gabon",6,249620.01,110000,359620.01,"FY16","06/30/2016"
"Sub-Saharan Africa","Gambia, The",10,42618.44,0,42618.44,"FY16","06/30/2016"
"Sub-Saharan Africa","Ghana",79,2551655.94,904750,3456405.94,"FY16","06/30/2016"
"Sub-Saharan Africa","Guinea",16,340327.82,11000,351327.82,"FY16","06/30/2016"
"Sub-Saharan Africa","Guinea-Bissau",4,7245.99,0,7245.99,"FY16","06/30/2016"
"Sub-Saharan Africa","Kenya",108,2102540.36,115662,2218202.41,"FY16","06/30/2016"
"Sub-Saharan Africa","Liberia",12,155585.92,0,155585.92,"FY16","06/30/2016"
"Sub-Saharan Africa","Madagascar",22,270158.58,21000,291158.58,"FY16","06/30/2016"
"Sub-Saharan Africa","Malawi",22,196196.95,9500,205696.95,"FY16","06/30/2016"
"Sub-Saharan Africa","Mali",27,284413.43,40000,324413.43,"FY16","06/30/2016"
"Sub-Saharan Africa","Mauritania",14,275266.04,9503,284768.64,"FY16","06/30/2016"
"Sub-Saharan Africa","Mauritius",20,158523,96,158619,"FY16","06/30/2016"
"Sub-Saharan Africa","Mozambique",31,425987.79,0,425987.79,"FY16","06/30/2016"
"Sub-Saharan Africa","Namibia",9,148390.96,0,148390.96,"FY16","06/30/2016"
"Sub-Saharan Africa","Niger",3,25609.6,0,25609.6,"FY16","06/30/2016"
"Sub-Saharan Africa","Nigeria",116,9863582.14,456155,10319737.17,"FY16","06/30/2016"
"Sub-Saharan Africa","Rwanda",22,222153.03,10000,232153.03,"FY16","06/30/2016"
"Sub-Saharan Africa","Sao Tome and Principe",2,2050.98,0,2050.98,"FY16","06/30/2016"
"Sub-Saharan Africa","Senegal",39,458674.73,79330,538005.22,"FY16","06/30/2016"
"Sub-Saharan Africa","Seychelles",7,39443.21,2500,41943.21,"FY16","06/30/2016"
"Sub-Saharan Africa","Sierra Leone",10,99601.63,25000,124601.63,"FY16","06/30/2016"
"Sub-Saharan Africa","Somalia",2,974.61,0,974.61,"FY16","06/30/2016"
"Sub-Saharan Africa","South Africa",92,2594331.3,15000,2609331.3,"FY16","06/30/2016"
"Sub-Saharan Africa","South Sudan",1,5000,0,5000,"FY16","06/30/2016"
"Sub-Saharan Africa","Sudan",6,27267.78,6489,33756.57,"FY16","06/30/2016"
"Sub-Saharan Africa","Swaziland",9,47779.49,0,47779.49,"FY16","06/30/2016"
"Sub-Saharan Africa","Tanzania",63,497431.02,15541,512971.53,"FY16","06/30/2016"
"Sub-Saharan Africa","Togo",13,253212.28,0,253212.28,"FY16","06/30/2016"
"Sub-Saharan Africa","Uganda",53,495608.49,13088,508696.86,"FY16","06/30/2016"
"Sub-Saharan Africa","Zambia",40,279271.34,20286,299557.16,"FY16","06/30/2016"
"Sub-Saharan Africa","Zimbabwe",51,284261.86,99000,383261.86,"FY16","06/30/2016"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa",110,3124942.47,70898,3195840.94,"FY16","06/30/2016"
"East Asia and the Pacific","Cambodia",14,480798.23,355000,835798.23,"FY16","06/30/2016"
"East Asia and the Pacific","China",282,9019404.34,2111109,11130513.63,"FY16","06/30/2016"
"East Asia and the Pacific","Fiji",11,57493.22,2500,59993.22,"FY16","06/30/2016"
"East Asia and the Pacific","Indonesia",130,4207221.56,2647055,6854276.92,"FY16","06/30/2016"
"East Asia and the Pacific","Kiribati",1,1798,0,1798,"FY16","06/30/2016"
"East Asia and the Pacific","Korea, Republic of",51,868449.18,195700,1064149.18,"FY16","06/30/2016"
"East Asia and the Pacific","Lao People's Democratic Republic",13,75019.82,0,75019.82,"FY16","06/30/2016"
"East Asia and the Pacific","Malaysia",12,154868.4,5389,160257.52,"FY16","06/30/2016"
"East Asia and the Pacific","Mongolia",20,808001.34,882125,1690126.34,"FY16","06/30/2016"
"East Asia and the Pacific","Myanmar",10,348089.09,0,348089.09,"FY16","06/30/2016"
"East Asia and the Pacific","Papua New Guinea",12,374518.93,25000,399518.93,"FY16","06/30/2016"
"East Asia and the Pacific","Philippines",106,3003198.25,695880,3699077.85,"FY16","06/30/2016"
"East Asia and the Pacific","Samoa",7,20096.57,0,20096.57,"FY16","06/30/2016"
"East Asia and the Pacific","Solomon Islands",2,45000,0,45000,"FY16","06/30/2016"
"East Asia and the Pacific","Thailand",86,2195564.9,1748419,3943984.24,"FY16","06/30/2016"
"East Asia and the Pacific","Timor-Leste",2,1500,0,1500,"FY16","06/30/2016"
"East Asia and the Pacific","Tonga",1,6787,0,6787,"FY16","06/30/2016"
"East Asia and the Pacific","Vanuatu",4,18104.05,0,18104.05,"FY16","06/30/2016"
"East Asia and the Pacific","Vietnam",56,5655115.96,253135,5908250.96,"FY16","06/30/2016"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific",48,1636139.03,0,1636139.03,"FY16","06/30/2016"
"South Asia","Bangladesh",50,3333636.26,92745,3426381.66,"FY16","06/30/2016"
"South Asia","Bhutan",5,54530.01,0,54530.01,"FY16","06/30/2016"
"South Asia","India",433,12586686.57,1743640,14330326.34,"FY16","06/30/2016"
"South Asia","Maldives",7,168250,8500,176750,"FY16","06/30/2016"
"South Asia","Nepal",27,222444.23,39000,261444.23,"FY16","06/30/2016"
"South Asia","Sri Lanka",45,748734,128616,877349.6,"FY16","06/30/2016"
"South Asia","Regional Investments: South Asia",12,250988.18,0,250988.18,"FY16","06/30/2016"
"Europe and Central Asia","Albania",21,487756.81,65692,553448.72,"FY16","06/30/2016"
"Europe and Central Asia","Armenia",17,435514.47,0,435514.47,"FY16","06/30/2016"
"Europe and Central Asia","Azerbaijan",27,586543.25,197930,784473.25,"FY16","06/30/2016"
"Europe and Central Asia","Belarus",20,644201.12,6000,650201.12,"FY16","06/30/2016"
"Europe and Central Asia","Bosnia and Herzegovina",33,358576.43,10578,369153.98,"FY16","06/30/2016"
"Europe and Central Asia","Bulgaria",28,938756.63,183647,1122403.34,"FY16","06/30/2016"
"Europe and Central Asia","Croatia",22,774637.47,228199,1002836.5,"FY16","06/30/2016"
"Europe and Central Asia","Czech Republic",19,482772.92,245588,728360.84,"FY16","06/30/2016"
"Europe and Central Asia","Estonia",11,137806.09,11855,149661.07,"FY16","06/30/2016"
"Europe and Central Asia","Georgia",25,947548.81,49825,997374.06,"FY16","06/30/2016"
"Europe and Central Asia","Greece",11,212810.34,40131,252941.59,"FY16","06/30/2016"
"Europe and Central Asia","Hungary",34,437985.38,70335,508320.21,"FY16","06/30/2016"
"Europe and Central Asia","Kazakhstan",35,1388007.4,282917,1670924.07,"FY16","06/30/2016"
"Europe and Central Asia","Kosovo",5,37448.88,0,37448.88,"FY16","06/30/2016"
"Europe and Central Asia","Kyrgyz Republic",15,123526.17,0,123526.17,"FY16","06/30/2016"
"Europe and Central Asia","Latvia",7,80966.79,35000,115966.79,"FY16","06/30/2016"
"Europe and Central Asia","Lithuania",11,95040.95,9309,104349.95,"FY16","06/30/2016"
"Europe and Central Asia","Macedonia, Former Yugoslav Republic of",16,237798.16,25000,262798.16,"FY16","06/30/2016"
"Europe and Central Asia","Moldova",18,263322.94,45000,308322.94,"FY16","06/30/2016"
"Europe and Central Asia","Montenegro",6,86754.2,0,86754.2,"FY16","06/30/2016"
"Europe and Central Asia","Poland",47,529925.93,115317,645242.77,"FY16","06/30/2016"
"Europe and Central Asia","Romania",51,2498321.73,478163,2976485.19,"FY16","06/30/2016"
"Europe and Central Asia","Russian Federation",194,8797860.99,2523372,11321232.95,"FY16","06/30/2016"
"Europe and Central Asia","Serbia",39,1512414.11,135630,1648044.37,"FY16","06/30/2016"
"Europe and Central Asia","Slovak Republic",7,115543.69,0,115543.69,"FY16","06/30/2016"
"Europe and Central Asia","Slovenia",12,241309.47,47383,288692.18,"FY16","06/30/2016"
"Europe and Central Asia","Tajikistan",20,146115.69,0,146115.69,"FY16","06/30/2016"
"Europe and Central Asia","Turkey",200,10894731.4,3791862,14686593.55,"FY16","06/30/2016"
"Europe and Central Asia","Turkmenistan",1,35000,0,35000,"FY16","06/30/2016"
"Europe and Central Asia","Ukraine",52,2415405.74,811700,3227105.74,"FY16","06/30/2016"
"Europe and Central Asia","Uzbekistan",19,160513.67,12900,173413.67,"FY16","06/30/2016"
"Europe and Central Asia","Regional Investments: Europe and Central Asia",67,3199737.81,200880,3400617.83,"FY16","06/30/2016"
"Latin America and the Caribbean","Antigua and Barbuda",1,30000,0,30000,"FY16","06/30/2016"
"Latin America and the Caribbean","Argentina",199,6113525.74,4549263,10662788.75,"FY16","06/30/2016"
"Latin America and the Caribbean","Barbados",6,128625.08,0,128625.08,"FY16","06/30/2016"
"Latin America and the Caribbean","Belize",4,33066.33,11000,44066.33,"FY16","06/30/2016"
"Latin America and the Caribbean","Bolivia",32,550809.86,140500,691309.86,"FY16","06/30/2016"
"Latin America and the Caribbean","Brazil",272,15492225.08,7062478,22554702.78,"FY16","06/30/2016"
"Latin America and the Caribbean","Chile",68,2507283.82,1317105,3824388.48,"FY16","06/30/2016"
"Latin America and the Caribbean","Colombia",137,3387409.11,1292631,4680040.13,"FY16","06/30/2016"
"Latin America and the Caribbean","Costa Rica",33,889359.32,99709,989068.14,"FY16","06/30/2016"
"Latin America and the Caribbean","Dominica",1,700,0,700,"FY16","06/30/2016"
"Latin America and the Caribbean","Dominican Republic",36,717430.5,241850,959280.5,"FY16","06/30/2016"
"Latin America and the Caribbean","Ecuador",28,726436.48,82240,808676.54,"FY16","06/30/2016"
"Latin America and the Caribbean","El Salvador",19,579721.59,113500,693221.59,"FY16","06/30/2016"
"Latin America and the Caribbean","Grenada",2,8000,0,8000,"FY16","06/30/2016"
"Latin America and the Caribbean","Guatemala",28,1513288.25,210000,1723288.25,"FY16","06/30/2016"
"Latin America and the Caribbean","Guyana",8,76416.96,0,76416.96,"FY16","06/30/2016"
"Latin America and the Caribbean","Haiti",12,127803.8,25250,153053.8,"FY16","06/30/2016"
"Latin America and the Caribbean","Honduras",26,1468018.74,142901,1610919.49,"FY16","06/30/2016"
"Latin America and the Caribbean","Jamaica",24,517495.6,194244,711740.09,"FY16","06/30/2016"
"Latin America and the Caribbean","Mexico",210,7186033.39,2884634,10070666.92,"FY16","06/30/2016"
"Latin America and the Caribbean","Nicaragua",24,631803.87,12429,644232.45,"FY16","06/30/2016"
"Latin America and the Caribbean","Panama",33,2045042.15,153300,2198342.15,"FY16","06/30/2016"
"Latin America and the Caribbean","Paraguay",18,1260054.41,10000,1270054.41,"FY16","06/30/2016"
"Latin America and the Caribbean","Peru",79,2310576.53,963099,3273675.85,"FY16","06/30/2016"
"Latin America and the Caribbean","St. Lucia",3,45421.91,0,45421.91,"FY16","06/30/2016"
"Latin America and the Caribbean","Suriname",1,4065.88,0,4065.88,"FY16","06/30/2016"
"Latin America and the Caribbean","Trinidad and Tobago",18,358653.74,235000,593653.74,"FY16","06/30/2016"
"Latin America and the Caribbean","Uruguay",19,347857.83,120000,467857.83,"FY16","06/30/2016"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de",39,897229.54,703791,1601020.96,"FY16","06/30/2016"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean",80,1978744.75,350000,2328744.75,"FY16","06/30/2016"
"Middle East and North Africa","Afghanistan",8,225346.86,0,225346.86,"FY16","06/30/2016"
"Middle East and North Africa","Algeria",14,253557.27,5557,259114.17,"FY16","06/30/2016"
"Middle East and North Africa","Bahrain",2,340271.16,0,340271.16,"FY16","06/30/2016"
"Middle East and North Africa","Egypt, Arab Republic of",102,3229037.98,814871,4043909.23,"FY16","06/30/2016"
"Middle East and North Africa","Iran, Islamic Republic of",11,63342.91,8199,71542.37,"FY16","06/30/2016"
"Middle East and North Africa","Iraq",13,738951.18,150000,888951.18,"FY16","06/30/2016"
"Middle East and North Africa","Jordan",56,1441377.29,625088,2066465.61,"FY16","06/30/2016"
"Middle East and North Africa","Lebanon",39,3609847.6,230430,3840277.6,"FY16","06/30/2016"
"Middle East and North Africa","Morocco",45,965950.97,515014,1480965.06,"FY16","06/30/2016"
"Middle East and North Africa","Oman",7,319853.4,57000,376853.4,"FY16","06/30/2016"
"Middle East and North Africa","Pakistan",138,6203021.36,665807,6868828.37,"FY16","06/30/2016"
"Middle East and North Africa","Saudi Arabia",11,466276.71,0,466276.71,"FY16","06/30/2016"
"Middle East and North Africa","Syrian Arab Republic",4,24731.6,0,24731.6,"FY16","06/30/2016"
"Middle East and North Africa","Tunisia",31,482686.92,427228,909914.72,"FY16","06/30/2016"
"Middle East and North Africa","United Arab Emirates",4,69000,0,69000,"FY16","06/30/2016"
"Middle East and North Africa","Yemen, Republic of",14,206004.2,56105,262108.86,"FY16","06/30/2016"
"Middle East and North Africa","Regional Investments: Middle East and North Africa",45,1557581.28,33000,1590581.28,"FY16","06/30/2016"
"Worldwide","Australia",2,975,0,975,"FY16","06/30/2016"
"Worldwide","Cyprus",7,32181.47,645,32826.72,"FY16","06/30/2016"
"Worldwide","Finland",4,1233.13,1915,3147.64,"FY16","06/30/2016"
"Worldwide","Israel",1,10500,0,10500,"FY16","06/30/2016"
"Worldwide","Italy",1,960,0,960,"FY16","06/30/2016"
"Worldwide","Portugal",7,51811.13,11000,62811.13,"FY16","06/30/2016"
"Worldwide","Spain",5,19042.51,1685,20727.51,"FY16","06/30/2016"
"Worldwide","Regional Investments: Worldwide",150,9216280.15,183000,9399280.15,"FY16","06/30/2016"
"Worldwide","Other",25,393181,11400,404581,"FY16","06/30/2016"
"Sub-Saharan Africa","Angola",9,501547.43,0,501547.43,"FY17","06/30/2017"
"Sub-Saharan Africa","Benin",12,303974.46,0,303974.46,"FY17","06/30/2017"
"Sub-Saharan Africa","Botswana",6,35451.6,0,35451.6,"FY17","06/30/2017"
"Sub-Saharan Africa","Burkina Faso",22,475118.77,0,475118.77,"FY17","06/30/2017"
"Sub-Saharan Africa","Burundi",10,53648.14,0,53648.14,"FY17","06/30/2017"
"Sub-Saharan Africa","Cameroon",43,762779.13,471500,1234279.13,"FY17","06/30/2017"
"Sub-Saharan Africa","Cape Verde",6,15901.91,0,15901.91,"FY17","06/30/2017"
"Sub-Saharan Africa","Central African Republic",1,9880.62,0,9880.62,"FY17","06/30/2017"
"Sub-Saharan Africa","Chad",10,139265.59,13900,153165.59,"FY17","06/30/2017"
"Sub-Saharan Africa","Congo, Democratic Republic of",29,513899.28,94000,607899.28,"FY17","06/30/2017"
"Sub-Saharan Africa","Congo, Republic of",9,154232.4,25000,179232.4,"FY17","06/30/2017"
"Sub-Saharan Africa","Cote D'Ivoire",58,895336.59,139956,1035292.89,"FY17","06/30/2017"
"Sub-Saharan Africa","Djibouti",1,4000,0,4000,"FY17","06/30/2017"
"Sub-Saharan Africa","Eritrea",1,949.22,0,949.22,"FY17","06/30/2017"
"Sub-Saharan Africa","Ethiopia",15,601181.96,11149,612330.96,"FY17","06/30/2017"
"Sub-Saharan Africa","Gabon",6,252620.01,110000,362620.01,"FY17","06/30/2017"
"Sub-Saharan Africa","Gambia, The",10,47270.34,0,47270.34,"FY17","06/30/2017"
"Sub-Saharan Africa","Ghana",82,2914736.64,904750,3819486.64,"FY17","06/30/2017"
"Sub-Saharan Africa","Guinea",17,491057.92,11000,502057.92,"FY17","06/30/2017"
"Sub-Saharan Africa","Guinea-Bissau",4,7245.99,0,7245.99,"FY17","06/30/2017"
"Sub-Saharan Africa","Kenya",115,2347642.78,125662,2473304.83,"FY17","06/30/2017"
"Sub-Saharan Africa","Lesotho",2,454,0,454,"FY17","06/30/2017"
"Sub-Saharan Africa","Liberia",13,172948.12,0,172948.12,"FY17","06/30/2017"
"Sub-Saharan Africa","Madagascar",22,314740.02,21000,335740.02,"FY17","06/30/2017"
"Sub-Saharan Africa","Malawi",22,210925.13,9500,220425.13,"FY17","06/30/2017"
"Sub-Saharan Africa","Mali",27,295636.98,40000,335636.98,"FY17","06/30/2017"
"Sub-Saharan Africa","Mauritania",15,280030.04,9503,289532.64,"FY17","06/30/2017"
"Sub-Saharan Africa","Mauritius",19,158088.39,96,158184.39,"FY17","06/30/2017"
"Sub-Saharan Africa","Mozambique",33,446862.79,16950,463812.79,"FY17","06/30/2017"
"Sub-Saharan Africa","Namibia",9,148390.96,0,148390.96,"FY17","06/30/2017"
"Sub-Saharan Africa","Niger",3,25609.6,0,25609.6,"FY17","06/30/2017"
"Sub-Saharan Africa","Nigeria",123,10426233.59,477155,10903388.63,"FY17","06/30/2017"
"Sub-Saharan Africa","Rwanda",23,252943.05,10000,262943.05,"FY17","06/30/2017"
"Sub-Saharan Africa","Sao Tome and Principe",2,2050.98,0,2050.98,"FY17","06/30/2017"
"Sub-Saharan Africa","Senegal",41,495999.45,93769,589768.11,"FY17","06/30/2017"
"Sub-Saharan Africa","Seychelles",7,39443.21,2500,41943.21,"FY17","06/30/2017"
"Sub-Saharan Africa","Sierra Leone",11,133764.91,25000,158764.91,"FY17","06/30/2017"
"Sub-Saharan Africa","Somalia",2,974.61,0,974.61,"FY17","06/30/2017"
"Sub-Saharan Africa","South Africa",95,3024993.75,15000,3039993.75,"FY17","06/30/2017"
"Sub-Saharan Africa","South Sudan",1,5000,0,5000,"FY17","06/30/2017"
"Sub-Saharan Africa","Sudan",6,27267.78,6489,33756.57,"FY17","06/30/2017"
"Sub-Saharan Africa","Swaziland",9,47779.49,0,47779.49,"FY17","06/30/2017"
"Sub-Saharan Africa","Tanzania",66,553878.31,15541,569418.83,"FY17","06/30/2017"
"Sub-Saharan Africa","Togo",13,264555.55,0,264555.55,"FY17","06/30/2017"
"Sub-Saharan Africa","Uganda",53,515713.56,20088,535801.93,"FY17","06/30/2017"
"Sub-Saharan Africa","Zambia",43,299771.34,20286,320057.16,"FY17","06/30/2017"
"Sub-Saharan Africa","Zimbabwe",51,284261.86,99000,383261.86,"FY17","06/30/2017"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa",120,3510909.58,1906,3512815.55,"FY17","06/30/2017"
"East Asia and the Pacific","Cambodia",16,503905.45,359227,863132.72,"FY17","06/30/2017"
"East Asia and the Pacific","China",295,9762048.45,2111109,11873157.74,"FY17","06/30/2017"
"East Asia and the Pacific","Fiji",11,57493.22,2500,59993.22,"FY17","06/30/2017"
"East Asia and the Pacific","Indonesia",134,4405235.39,2757055,7162290.76,"FY17","06/30/2017"
"East Asia and the Pacific","Kiribati",1,1798,0,1798,"FY17","06/30/2017"
"East Asia and the Pacific","Korea, Republic of",51,868449.18,195700,1064149.18,"FY17","06/30/2017"
"East Asia and the Pacific","Lao People's Democratic Republic",14,94101.86,0,94101.86,"FY17","06/30/2017"
"East Asia and the Pacific","Malaysia",12,154868.4,5389,160257.52,"FY17","06/30/2017"
"East Asia and the Pacific","Mongolia",20,969459.81,887125,1856584.81,"FY17","06/30/2017"
"East Asia and the Pacific","Myanmar",18,577929.39,0,577929.39,"FY17","06/30/2017"
"East Asia and the Pacific","Papua New Guinea",12,404744.11,25000,429744.11,"FY17","06/30/2017"
"East Asia and the Pacific","Philippines",109,3082187.9,695880,3778067.5,"FY17","06/30/2017"
"East Asia and the Pacific","Samoa",7,20096.57,0,20096.57,"FY17","06/30/2017"
"East Asia and the Pacific","Solomon Islands",3,50000,0,50000,"FY17","06/30/2017"
"East Asia and the Pacific","Thailand",87,2164328.08,1748419,3912747.42,"FY17","06/30/2017"
"East Asia and the Pacific","Timor-Leste",2,1500,0,1500,"FY17","06/30/2017"
"East Asia and the Pacific","Tonga",1,6787,0,6787,"FY17","06/30/2017"
"East Asia and the Pacific","Vanuatu",4,18104.05,0,18104.05,"FY17","06/30/2017"
"East Asia and the Pacific","Vietnam",60,6739470.92,318135,7057605.92,"FY17","06/30/2017"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific",50,1591289.03,0,1591289.03,"FY17","06/30/2017"
"South Asia","Bangladesh",55,3997916.78,154620,4152537.18,"FY17","06/30/2017"
"South Asia","Bhutan",6,54530.01,0,54530.01,"FY17","06/30/2017"
"South Asia","India",456,14021484.05,1743640,15765123.82,"FY17","06/30/2017"
"South Asia","Maldives",7,168250,8500,176750,"FY17","06/30/2017"
"South Asia","Nepal",28,237222.49,39000,276222.49,"FY17","06/30/2017"
"South Asia","Sri Lanka",45,993271.62,128616,1121887.22,"FY17","06/30/2017"
"South Asia","Regional Investments: South Asia",13,310988.18,0,310988.18,"FY17","06/30/2017"
"Europe and Central Asia","Albania",21,487756.81,65692,553448.72,"FY17","06/30/2017"
"Europe and Central Asia","Armenia",17,488046.93,0,488046.93,"FY17","06/30/2017"
"Europe and Central Asia","Azerbaijan",27,596543.25,197930,794473.25,"FY17","06/30/2017"
"Europe and Central Asia","Belarus",21,650052.3,6000,656052.3,"FY17","06/30/2017"
"Europe and Central Asia","Bosnia and Herzegovina",33,358576.43,10578,369153.98,"FY17","06/30/2017"
"Europe and Central Asia","Bulgaria",29,977667.85,183647,1161314.56,"FY17","06/30/2017"
"Europe and Central Asia","Croatia",22,774637.47,228199,1002836.5,"FY17","06/30/2017"
"Europe and Central Asia","Czech Republic",18,455175.92,245588,700763.84,"FY17","06/30/2017"
"Europe and Central Asia","Estonia",11,137806.09,11855,149661.07,"FY17","06/30/2017"
"Europe and Central Asia","Georgia",29,1074847.89,49825,1124673.14,"FY17","06/30/2017"
"Europe and Central Asia","Greece",14,538617.37,40131,578748.62,"FY17","06/30/2017"
"Europe and Central Asia","Hungary",34,437985.38,70335,508320.21,"FY17","06/30/2017"
"Europe and Central Asia","Kazakhstan",36,1435007.4,282917,1717924.07,"FY17","06/30/2017"
"Europe and Central Asia","Kosovo",5,39585.08,0,39585.08,"FY17","06/30/2017"
"Europe and Central Asia","Kyrgyz Republic",15,123526.17,0,123526.17,"FY17","06/30/2017"
"Europe and Central Asia","Latvia",7,80966.79,35000,115966.79,"FY17","06/30/2017"
"Europe and Central Asia","Lithuania",11,95040.95,9309,104349.95,"FY17","06/30/2017"
"Europe and Central Asia","Macedonia, Former Yugoslav Republic of",17,304463.16,25000,329463.16,"FY17","06/30/2017"
"Europe and Central Asia","Malta",1,357200.72,0,357200.72,"FY17","06/30/2017"
"Europe and Central Asia","Moldova",18,263322.94,45000,308322.94,"FY17","06/30/2017"
"Europe and Central Asia","Montenegro",7,91212.6,0,91212.6,"FY17","06/30/2017"
"Europe and Central Asia","Poland",50,843754.93,115317,959071.77,"FY17","06/30/2017"
"Europe and Central Asia","Romania",52,2639340.02,478163,3117503.48,"FY17","06/30/2017"
"Europe and Central Asia","Russian Federation",194,8797860.99,2523372,11321232.95,"FY17","06/30/2017"
"Europe and Central Asia","Serbia",40,1533830.94,135630,1669461.2,"FY17","06/30/2017"
"Europe and Central Asia","Slovak Republic",7,115543.69,0,115543.69,"FY17","06/30/2017"
"Europe and Central Asia","Slovenia",12,241309.47,47383,288692.18,"FY17","06/30/2017"
"Europe and Central Asia","Tajikistan",20,146866.44,0,146866.44,"FY17","06/30/2017"
"Europe and Central Asia","Turkey",203,12419762.36,3826862,16246624.52,"FY17","06/30/2017"
"Europe and Central Asia","Turkmenistan",1,35000,0,35000,"FY17","06/30/2017"
"Europe and Central Asia","Ukraine",54,2583970.41,871700,3455670.41,"FY17","06/30/2017"
"Europe and Central Asia","Uzbekistan",19,166516.67,12900,179416.67,"FY17","06/30/2017"
"Europe and Central Asia","Regional Investments: Europe and Central Asia",65,3121224.76,200880,3322104.78,"FY17","06/30/2017"
"Latin America and the Caribbean","Antigua and Barbuda",1,30000,0,30000,"FY17","06/30/2017"
"Latin America and the Caribbean","Argentina",206,6701371.23,5096863,11798234.24,"FY17","06/30/2017"
"Latin America and the Caribbean","Barbados",6,128625.08,0,128625.08,"FY17","06/30/2017"
"Latin America and the Caribbean","Belize",4,33066.33,11000,44066.33,"FY17","06/30/2017"
"Latin America and the Caribbean","Bolivia",33,560656.95,140500,701156.95,"FY17","06/30/2017"
"Latin America and the Caribbean","Brazil",282,16461667.94,7496651,23958319.24,"FY17","06/30/2017"
"Latin America and the Caribbean","Chile",70,2577475.89,1317105,3894580.55,"FY17","06/30/2017"
"Latin America and the Caribbean","Colombia",139,3728019.01,1307631,5035650.04,"FY17","06/30/2017"
"Latin America and the Caribbean","Costa Rica",34,1164363.59,99709,1264072.41,"FY17","06/30/2017"
"Latin America and the Caribbean","Dominica",1,700,0,700,"FY17","06/30/2017"
"Latin America and the Caribbean","Dominican Republic",37,772787.75,241850,1014637.75,"FY17","06/30/2017"
"Latin America and the Caribbean","Ecuador",28,769793.94,99240,869034,"FY17","06/30/2017"
"Latin America and the Caribbean","El Salvador",21,752983.83,113500,866483.83,"FY17","06/30/2017"
"Latin America and the Caribbean","Grenada",2,8000,0,8000,"FY17","06/30/2017"
"Latin America and the Caribbean","Guatemala",29,1734792.06,210000,1944792.06,"FY17","06/30/2017"
"Latin America and the Caribbean","Guyana",8,76416.96,0,76416.96,"FY17","06/30/2017"
"Latin America and the Caribbean","Haiti",13,129803.8,25250,155053.8,"FY17","06/30/2017"
"Latin America and the Caribbean","Honduras",28,1550688.57,142901,1693589.32,"FY17","06/30/2017"
"Latin America and the Caribbean","Jamaica",24,517845.6,194244,712090.09,"FY17","06/30/2017"
"Latin America and the Caribbean","Mexico",217,7414863.97,2891462,10306325.59,"FY17","06/30/2017"
"Latin America and the Caribbean","Nicaragua",26,800281.66,12429,812710.23,"FY17","06/30/2017"
"Latin America and the Caribbean","Panama",35,2312809.96,153300,2466109.96,"FY17","06/30/2017"
"Latin America and the Caribbean","Paraguay",18,1339096.06,10000,1349096.06,"FY17","06/30/2017"
"Latin America and the Caribbean","Peru",81,2376297.41,977099,3353396.72,"FY17","06/30/2017"
"Latin America and the Caribbean","St. Lucia",3,45421.91,0,45421.91,"FY17","06/30/2017"
"Latin America and the Caribbean","Suriname",1,4065.88,0,4065.88,"FY17","06/30/2017"
"Latin America and the Caribbean","Trinidad and Tobago",18,358653.74,235000,593653.74,"FY17","06/30/2017"
"Latin America and the Caribbean","Uruguay",20,358634.4,120000,478634.4,"FY17","06/30/2017"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de",39,897229.54,703791,1601020.96,"FY17","06/30/2017"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean",88,2020551.07,351685,2372236.07,"FY17","06/30/2017"
"Middle East and North Africa","Afghanistan",8,226603.55,0,226603.55,"FY17","06/30/2017"
"Middle East and North Africa","Algeria",14,253557.27,5557,259114.17,"FY17","06/30/2017"
